country,year,primary_energy_consumption,per_capita_energy,population,gdp,pm25_concentration,pm10_concentration,no2_concentration,num_cities_measured
Colombia,2014,510.586,1.0964916330841685e-05,46565426.0,595158021031.0,20.882857142857144,41.227222222222224,25.97,18
Colombia,2015,504.402,1.0738826182823575e-05,46969938.0,612750891790.0,27.3375,46.405,26.275,10
Colombia,2016,548.829,1.1569514615995993e-05,47437513.0,625545111723.0,16.655,41.36,13.1,2
Colombia,2017,555.225,1.1535686424296852e-05,48131076.0,634046295892.0,15.21,,,1
Colombia,2018,571.28,1.165295783046109e-05,49024463.0,650303209362.0,17.228,40.51,,16
Colombia,2019,573.736,1.1495875399662983e-05,49907987.0,671028388046.0,17.309,45.79333333333333,,11
Costa Rica,2013,39.867,8.453288093070772e-06,4716153.0,60973369897.0,18.0,30.5,,7
Costa Rica,2015,41.158,8.542468988977894e-06,4818045.0,65438671759.0,24.0,,,1
Costa Rica,2017,44.914,9.141539171090315e-06,4913177.0,71025038908.0,,24.0,,1
Costa Rica,2018,46.129,9.30430413571468e-06,4957813.0,72883048113.0,22.5,23.55,40.71,5
Costa Rica,2019,46.277,9.256234912389097e-06,4999549.0,74645366733.0,7.4,,,1
Croatia,2010,108.264,2.517094265487137e-05,4301150.0,81303793822.0,,26.663999999999998,21.292,5
Croatia,2013,96.073,2.2645891962644754e-05,4242403.0,80064089923.0,23.005,31.18,20.2425,6
Croatia,2014,96.009,2.2753724684410537e-05,4219485.0,79720242860.0,20.036666666666665,26.632857142857144,18.669999999999998,9
Croatia,2015,91.02,2.1755695632511833e-05,4183732.0,81731110395.0,15.60625,24.855454545454542,19.794285714285714,14
Croatia,2016,94.731,2.2901588274742663e-05,4136438.0,84640158587.0,17.274444444444445,25.401999999999997,18.61777777777778,16
Croatia,2017,94.783,2.3235694859626818e-05,4079198.0,87528490789.0,15.549000000000001,23.02,19.727777777777778,17
Croatia,2018,98.16,2.438837745734767e-05,4024868.0,89979865983.0,15.6775,24.006153846153843,15.219999999999999,21
Croatia,2019,95.813,2.4035342713036375e-05,3986338.0,93057982684.0,13.715,22.037,17.128999999999998,17
Cuba,2015,127.577,1.1314964014854365e-05,11275069.0,88467246000.0,34.8,,,1
Cyprus,2010,34.056,3.0196147278037568e-05,1127826.0,27285556934.0,20.048,45.26666666666667,18.310000000000002,5
Cyprus,2013,28.278,2.3885483474519364e-05,1183899.0,24918237857.0,15.957999999999998,36.919999999999995,16.465,5
Cyprus,2014,28.294,2.3542901266926608e-05,1201806.0,24475580582.0,16.201999999999998,33.656666666666666,16.38,5
Cyprus,2015,29.184,2.3931040816594288e-05,1219504.0,25312505108.0,15.953999999999999,34.403333333333336,16.96,5
Cyprus,2016,31.737,2.5654062600536407e-05,1237114.0,26976335005.0,11.506666666666668,29.275,16.223333333333333,6
Cyprus,2017,32.596,2.5987942028615755e-05,1254274.0,28523085691.0,13.724,26.865000000000002,15.033333333333331,5
Cyprus,2018,32.462,2.554568468998059e-05,1270743.0,30134014224.0,12.941999999999998,33.1425,14.353333333333333,5
Cyprus,2019,32.493,2.5253581146355434e-05,1286669.0,31800247242.0,13.025,24.150000000000002,14.915,4
Czechia,2010,513.649,4.90870873425022e-05,10464035.0,271231988282.0,23.613333333333337,29.067666666666668,19.30672131147541,95
Czechia,2013,490.221,4.6638126852554106e-05,10511164.0,276764861619.0,20.158125000000002,25.902499999999996,17.699333333333335,86
Czechia,2014,479.937,4.5633433844656525e-05,10517223.0,283025537919.0,19.37290322580645,25.631645569620254,16.780434782608694,85
Czechia,2015,470.716,4.4726083665624076e-05,10524418.0,298276052489.0,17.946666666666665,23.308142857142855,16.31953488372093,77
Czechia,2016,464.374,4.409194654055386e-05,10531946.0,305844147713.0,18.464313725490197,21.804285714285715,15.000204081632653,97
Czechia,2017,490.582,4.653885183320569e-05,10541343.0,321652381589.0,18.747692307692308,22.193736263736266,15.014489795918369,95
Czechia,2018,489.024,4.6357669883990174e-05,10548934.0,332009886797.0,20.40686274509804,24.484666666666666,14.9104,95
Czechia,2019,477.905,4.527814264351097e-05,10554872.0,342069373423.0,15.284736842105264,19.423478260869565,14.761272727272727,100
Denmark,2010,235.977,4.253474084174723e-05,5547865.0,238190225279.0,15.086666666666666,21.5475,25.330000000000002,5
Denmark,2013,211.702,3.770070270097962e-05,5615333.0,245578374484.0,11.0625,21.735,18.13714285714286,7
Denmark,2014,203.564,3.606863821240849e-05,5643795.0,249555233739.0,13.26,22.186,18.00166666666667,6
Denmark,2015,198.975,3.500801766737078e-05,5683698.0,255401297489.0,11.256666666666666,20.655,12.541250000000002,8
Denmark,2016,201.601,3.519450102615204e-05,5728196.0,263691544304.0,10.29,18.73,12.783333333333335,9
Denmark,2017,202.984,3.520871218928031e-05,5765164.0,271132202845.0,9.406,17.985,11.954444444444444,9
Denmark,2018,200.117,3.453970987037231e-05,5793824.0,276526484620.0,12.222,21.102,12.066666666666668,9
Denmark,2019,216.802,3.728568239564491e-05,5814618.0,280656364923.0,10.242,18.85,10.703333333333333,9
Ecuador,2010,155.194,1.029363394382735e-05,15076697.0,137913290159.0,19.27,39.864999999999995,20.54,2
Ecuador,2011,164.644,1.0742627411616894e-05,15326232.0,149795272280.0,17.82,34.08,18.53,2
Ecuador,2012,173.933,1.1169459411470252e-05,15572195.0,158246726051.0,18.43,36.42666666666667,19.63,9
Ecuador,2013,179.509,1.1356203010134918e-05,15807132.0,166075183974.0,18.45,34.25,21.435000000000002,2
Ecuador,2014,188.563,1.1759370536946792e-05,16035127.0,172367775440.0,17.32,46.445,22.895,2
Ecuador,2015,188.046,1.1560515962243e-05,16266229.0,172538423301.0,17.27,38.725,22.42,2
Ecuador,2016,187.404,1.135427977535728e-05,16505142.0,170423090933.0,14.07,40.75,20.740000000000002,2
Ecuador,2017,195.11,1.1641745002764103e-05,16759515.0,174458721084.0,14.015,43.375,19.395,2
Ecuador,2018,206.38,1.2104723986134056e-05,17049542.0,176707497535.0,19.84,33.22,24.09,1
Egypt,2013,973.269,1.0209092075045017e-05,95333551.0,984556585202.0,,173.0,,2
Egypt,2014,961.972,9.863480635511687e-06,97528655.0,1035721838706.0,,241.5,,2
Egypt,2015,976.108,9.8005434563138e-06,99597334.0,1079611566322.0,,266.5,,2
El Salvador,2010,30.49,5.024510349189462e-06,6068253.0,43862777197.0,29.75,,,1
El Salvador,2011,30.647,5.032242343674878e-06,6090128.0,45520507146.0,33.3,,,1
El Salvador,2012,31.426,5.140025878409421e-06,6113977.0,46608113564.0,44.6,,,1
El Salvador,2013,30.522,4.971945048294915e-06,6138845.0,48017379514.0,43.9,,,1
